Method,#Cluster,ARI
SiaNN,48.0,0.1891810860807563
SiaNN,48.0,0.1778791074764574
SiaNN,47.0,0.19296442142718565
SiaNN,46.0,0.20778442443656828
SiaNN,47.0,0.19917350225316813
SiaNN,47.0,0.19419564554878838
SiaNN,47.0,0.19694871773225062
SiaNN,45.0,0.21473264107332485
SiaNN,43.0,0.234496081656129
SiaNN,40.0,0.2404966709553312
SiaNN,38.0,0.23974810832376
SiaNN,36.0,0.24491705562906427
SiaNN,36.0,0.24376454863037986
SiaNN,35.0,0.24986721219008629
SiaNN,33.0,0.29801223946090555
SiaNN,31.0,0.3126071006063839
SiaNN,31.0,0.3306826347747984
SiaNN,29.0,0.34245327475279497
SiaNN,29.0,0.3167399261430597
SiaNN,30.0,0.3234998597820402
SiaNN,25.0,0.37321732612708863
SiaNN,23.0,0.38423543335882304
SiaNN,22.0,0.403595263996157
SiaNN,20.0,0.46302549970217743
SiaNN,17.0,0.7112946336065791
SiaNN,11.0,0.6870817913464422
Seurat,23.0,0.3044420654093858
Seurat,24.0,0.29905684235340846
Seurat,23.0,0.31669125676365867
Seurat,22.0,0.318921778514988
Seurat,19.0,0.3242329447726742
Seurat,19.0,0.3118029346116607
Seurat,19.0,0.31734563233010005
Seurat,19.0,0.30393128007557785
Seurat,18.0,0.32740068482271323
Seurat,18.0,0.30992985655017463
Seurat,18.0,0.3070291656878297
Seurat,17.0,0.30431051012552646
Seurat,16.0,0.31871138468476995
Seurat,16.0,0.3209453180125659
Seurat,16.0,0.31650343291538524
Seurat,16.0,0.2983397236306531
Seurat,15.0,0.30749385412298746
Seurat,14.0,0.3515316902649291
Seurat,15.0,0.3250326192119009
Seurat,15.0,0.3300981642526232
Seurat,14.0,0.3513462043295012
Seurat,13.0,0.34631005652731073
Seurat,13.0,0.3367798112679611
Seurat,13.0,0.34591776126291335
Seurat,12.0,0.3557364243464091
Seurat,10.0,0.3200248697099573
Seurat,10.0,0.32202549876983266
Seurat,9.0,0.2100437585767293
Seurat,7.0,0.173617305130875
Seurat,5.0,0.026775594798941774
Liger(UINMF),68.0,0.049064108778881524
Liger(UINMF),65.0,0.051307603361425376
Liger(UINMF),63.0,0.049414320939396635
Liger(UINMF),60.0,0.052754701300083376
Liger(UINMF),59.0,0.05161042104966211
Liger(UINMF),58.0,0.057029962738397985
Liger(UINMF),56.0,0.055839139076643625
Liger(UINMF),56.0,0.05741930285362321
Liger(UINMF),55.0,0.0576350294679381
Liger(UINMF),54.0,0.059524176946738394
Liger(UINMF),53.0,0.05951716519619168
Liger(UINMF),49.0,0.062139795667084545
Liger(UINMF),48.0,0.06941873368948243
Liger(UINMF),46.0,0.07110243885620979
Liger(UINMF),44.0,0.06872504852661175
Liger(UINMF),43.0,0.07340122839642267
Liger(UINMF),40.0,0.08079392575442805
Liger(UINMF),38.0,0.09192138882609258
Liger(UINMF),37.0,0.08163307129472436
Liger(UINMF),34.0,0.09618471505651957
Liger(UINMF),32.0,0.09832657620537145
Liger(UINMF),31.0,0.09689328415143932
Liger(UINMF),29.0,0.09729907687648762
Liger(UINMF),27.0,0.11899594554241168
Liger(UINMF),25.0,0.11788421269754987
Liger(UINMF),24.0,0.1318150957861515
Liger(UINMF),19.0,0.13252457324535996
Liger(UINMF),15.0,0.14684916738881962
Liger(UINMF),14.0,0.15983463230945602
Liger(UINMF),9.0,0.28507433340116395
